12345682-E;GARGAMEL;ROMPE;TECHOS;grompet;03/11/2019;;B2;5;grompet@empresa2.com;4
12345683-F;JUAN;RIGOBERTO;PICAPORTE;jrigobertop;25/07/2017;;A2;6;jrigobertop@empresa2.com;1
12345684-G;MERE;PANTERA;ROSA;mpanterar;06/02/2013;;A2;7;mpanterar@empresa2.com;1
12345685-H;TORPE;MORTA;DELO;tmortad;02/03/2019;;B2;7;tmortad@empresa2.com;4
12345686-I;ISA;GOTERA;OTILIO;igoterao;03/04/2012;;A1;7;igoterao@empresa2.com;3
12345687-J;EUSEBIO;UNOS;FLAN;eunosf;19/05/2012;;A3;4;eunosf@empresa2.com;4
12345688-K;EVA;DORO;TEO;edorot;03/11/2020;;A1;5;edorot@empresa2.com;4
12345689-L;TUSO;ZIPI;ZAPEL;tzipiz;28/08/2015;;A3;3;tzipiz@empresa2.com;2
12345690-M;ANA;RUE;PERCEBE;aruep;26/05/2012;;B2;7;aruep@empresa2.com;1
12345691-N;JOSE;SHIN;CHAN;jshinc;24/02/2017;;B2;7;jshinc@empresa2.com;1
12345692-O;VICOR;NANO;UCHE;vnanou;03/05/2021;;A1;5;vnanou@empresa2.com;2
12345693-P;TONI;TIN;TIN;ttint;07/08/2011;;B2;4;ttint@empresa2.com;2
12345694-Q;XIMO;ABEJA;MAYA;xabejam;04/12/2016;;B1;7;xabejam@empresa2.com;4
12345695-R;JESU;COMI;CLANDIA;jcomic;09/08/2013;;A2;4;jcomic@empresa2.com;3
12345707-D;ANTONIO;ALABAU;VALENCIA;aalabauv;13/11/2022;;A2;7;aalabauv@empresa2.com;2
12345708-E;CLAUDIO;GOMIS;CAMPOS;cgomisc;01/11/2022;;B1;2;cgomisc@empresa2.com;4
12345709-F;SUSANA;VALENCIA;MONCHO;svalenciam;14/11/2022;;B2;7;svalenciam@empresa2.com;2
12345710-G;PEDRO;CHAVES;ALABAU;pchavesa;10/02/2023;;B2;7;pchavesa@empresa2.com;4
12345711-H;PIEDAD;ALBA;GOMIS;palbag;05/12/2022;;B2;2;palbag@empresa2.com;4
12345712-I;MANUEL;CARVALHO;VALENCIA;mcarvalhov;15/12/2022;;B2;5;mcarvalhov@empresa2.com;4
12345713-J;JAVIER;CAMPOS;VARGAS;jcamposv;21/12/2022;;B1;4;jcamposv@empresa2.com;1
12345714-K;EVA;MONCHO;CARVALHO;emonchoc;24/03/2023;;B1;5;emonchoc@empresa2.com;1
12345715-L;RODRIGO;CHAVES;CAMPOS;rchavesc;04/08/2020;;A2;5;rchavesc@empresa2.com;3
12345716-M;JOHANN;ALBA;CHAVES;jalbac;08/04/2020;;B3;4;jalbac@empresa2.com;2
12345717-N;EVA;GARCIA;ALAVES;egarciaa;13/12/2017;;A3;7;egarciaa@empresa2.com;1
12345718-A;PEDRO;PULGAR;CITO;ppulgarc;23/01/2022;;A2;1;ppulgarc@empresa2.com;2
123457199-B;ANGI;FILE;MON;afilem;21/03/2015;;A3;7;afilem@empresa2.com;1
12345720-C;MARIA;SEGIS;OLIVIO;msegiso;07/11/2021;;A3;5;msegiso@empresa2.com;2
12345721-D;MANU;TOM;JERRY;mtomj;04/03/2012;;A1;3;mtomj@empresa2.com;3
