Departamentos,Nombre,Cuenta,Password,Descripcion
Comercial,JAVIER CAMPOS VARGAS,jcamposv,xDshw-t45Hl,Jefe departamento Comercial
Comercial,ANGI FILE MON,afilem,xDshw-t45Hl,Supervisor departamento Comercial
Comercial,EVA GARCIA ALAVES,egarciaa,xDshw-t45Hl,Empleado Comercial
Comercial,EVA MONCHO CARVALHO,emonchoc,xDshw-t45Hl,Empleado Comercial
Comercial,MERE PANTERA ROSA,mpanterar,xDshw-t45Hl,Empleado Comercial
Comercial,JUAN RIGOBERTO PICAPORTE,jrigobertop,xDshw-t45Hl,Empleado Comercial
Comercial,ANA RUE PERCEBE,aruep,xDshw-t45Hl,Empleado Comercial
Comercial,JOSE SHIN CHAN,jshinc,xDshw-t45Hl,Empleado Comercial
Comptabilitat,ANTONIO ALABAU,aalabauv,xDshw-t45Hl,Jefe departamento Comptabilitat
Comptabilitat,JOHANN ALBA VALENCIA,jalbac,xDshw-t45Hl,Supervisor departamento Comptabilitat
Comptabilitat,VICOR NANO UCHE,vnanou,xDshw-t45Hl,Empleado Comptabilitat
Comptabilitat,PEDRO PULGAR CITO,ppulgarc,xDshw-t45Hl,Empleado Comptabilitat
Comptabilitat,MARIA SEGIS OLIVIO,msegiso,xDshw-t45Hl,Empleado Comptabilitat
Comptabilitat,TONI TIN TIN,ttint,xDshw-t45Hl,Empleado Comptabilitat
Comptabilitat,SUSANA VALENCIA MONCHO,svalenciam,xDshw-t45Hl,Empleado Comptabilitat
Comptabilitat,TUSO ZIPI ZAPEL,tzipiz,xDshw-t45Hl,Empleado Comptabilitat
Informatica,RODRIGO CHAVES CAMPOS,rchavesc,xDshw-t45Hl,Jefe departamento Informatica
Informatica,JESU COMI CLANDIA,jcomic,xDshw-t45Hl,Supervisor departamento Informatica
Informatica,ISA GOTERA OTILIO,igoterao,xDshw-t45Hl,Empleado Informatica
Informatica,MANU TOM JERRY,mtomj,xDshw-t45Hl,Empleado Informatica
Personal,XIMO ABEJA MAYA,xabejam,xDshw-t45Hl,Jefe departamento Personal
Personal,PIEDAD ALBA GOMIS,palbag,xDshw-t45Hl,Supervisor departamento Personal
Personal,MANUEL CARVALHO VALENCIA,mcarvalhov,xDshw-t45Hl,Empleado Personal
Personal,PEDRO CHAVES ALABAU,pchavesa,xDshw-t45Hl,Empleado Personal
Personal,EVA DORO TEO,edorot,xDshw-t45Hl,Empleado Personal
Personal,CLAUDIO GOMIS CAMPOS,cgomisc,xDshw-t45Hl,Empleado Personal
Personal,TORPE MORTA DELO,tmortad,xDshw-t45Hl,Empleado Personal
Personal,GARGAMEL ROMPE TECHOS,grompet,xDshw-t45Hl,Empleado Personal
Personal,EUSEBIO UNOS FLAN,eunosf,xDshw-t45Hl,Empleado Personal
